Ather 450X इलेक्ट्रिक स्कूटरवर फक्त 1 रुपयात मिळतेय 'ही' खास ऑफर!,Auto,"अभिनव यंत्रणेने भारतीय बाजारातील एक प्रमुख इलेक्ट्रिक वाहन निर्माता कंपनी आथर ने आपल्याला त्यांच्या नवीन उत्पादनाचा देखावा करण्याची संधी दिलेली आहे. ह्या कंपनीची देशभरातील विविध शहरांमध्ये आपली कार वाहतूक सेवा प्रदान करत असताना, त्यांनी माहिती दिली आहे की त्यांच्या लोकप्रिय इलेक्ट्रिक स्कूटर, अथर 450X वरील गुंतवणुकदारांसाठी ही खास ऑफर आहे. या ऑफरमुळे चार्जिंग करून किंवा आपल्या स्कूटरचे पुरेसे चार्ज झाल्यावर स्कूटर वापरण्याची परवडणारी दर 1 रुपया आहे.

या ऑफरचा फायदा घेऊन आपल्याला अथर 450X स्कूटरचे खरेदी करायला मिळणारे लाभ वेगळे-वेगळे असतील. या स्कूटरची विशेषत्वे असूनही, ह्या ऑफरचा लाभ घेता येणाऱ्या गुंतवणूकदारांना या स्कूटरचे वैशिष्ट्यांबाबत अधिक जाणून घेण्यासाठी कंपनीने वेबसाइटवरील पूर्ण विवरण दिले आहे."
Ola Electric Scooter Booking: ओला आणखी एक संधी देणार! इलेक्ट्रीक स्कूटरची या तारखेला पुन्हा बुकिंग सुरु करणार,Auto,"ओला इलेक्ट्रिक स्कूटरच्या बुकिंगसाठी वाटप होत असताना, राज्य सरकारने निर्णय घेतल्यावर चालू असलेल्या कोरोना महामारीच्या वेळी भारतातील सर्वांना सुरक्षित आणि पर्यावरणहीत वाहतूकच सुविधा मिळवायला हवी. याच्या उद्देश्याने ओला ऑटो लिमिटेडने स्वतःच्या संकेतासह ओला इलेक्ट्रिक स्कूटरची बुकिंग सुरु करण्याची जाहिरात केली आहे. या संधीने खूप शोक झालेल्या कोविड-19 महामारीच्या वेळी, खाली गुंडाळलेल्या लोकांना वाहतूकची सुविधा मिळणार आहे.

ज्याप्रमाणे राज्य सरकारने सुरुवातीला प्रदूषण कमी करण्यासाठी इलेक्ट्रिक वाहनांची संख्या वाढविण्याचे प्रयत्न करत असले होते, तरीही ओला संकेताच्या आधारे बघायचं ते लक्षात आलं. त्यानुसार, ओला इलेक्ट्रिक स्कूटर्सची बुकिंग सुरु करण्याने प्रदूषण कमी होईपर्यंत असतील अशा वेळी देशभरातील लोकांना सुरक्षित आणि पर्यावरणहीत वाहतूकची सुविधा मिळवायला मिळेल."
"Fastag : ‘फास्टॅग’ आहे ना?, वाचा नव्या तंत्रज्ञानाची इत्थंभूत माहिती",Auto,"मुंबई: राज्यातील सर्व कार वाहनांना सुरुवातीला फास्टॅग या प्रणालीच्या अंतर्गत जोडण्याचा निर्णय घेतल्यापासून तरीही एकत्रितपणे हा प्रकार नेहमी राहत असला तरी, देशभरातील कार वाहनांचे बोलण्याचे चित्र बदलण्याचा काळ आला आहे. अंतर्गत शिक्षण संस्था, गाव-गांवातील लोकांचे नागरिक जीवन यांचे नियमितपणे बदल होत आहेत.

अमेरिकेने त्यांच्यावर फास्टॅगचा प्रभाव पडलेल्या म्हणूनच हे प्रश्न उघडे झाले आहेत. पण भारतातही त्या देशातील ही प्रणाली कसे ठेवली आहे, हेच प्रश्न लोकांनी साध्या शब्दांमध्ये पुन्हा पुन्ही पुढाकार दिला आहे. या बाबतीत जेव्हा ही चर्चा होत असताना माझ्या मनातली एक आवडीची कल्पना उद्भवत होती. मी खूप वेळे दूरभाषचे वापरणार नसलेल्या इथळे प्रदेशात घेऊन आलेल्या एका गावात गेलो."
सुरक्षित ड्रायव्हिंग आपण कधी शिकणार? गाडीचे ‘एन कॅप’ रेटिंग महत्त्वाचे,Auto,"मुंबईतील सर्व वाहनांच्या बाबतीत सुरक्षित ड्रायव्हिंग हे एक महत्त्वपूर्ण विषय आहे. यातून तुम्हाला जीवनसह निर्वाह देणाऱ्या मार्गदर्शनासाठी प्रत्येक गाडीसाठी 'एन कॅप' रेटिंग मिळते. या रेटिंगमुळे प्रवाशांना गाडीमध्ये सुरक्षितपणे येण्याची अंमलबजावणी करू शकतात. मात्र, जेव्हा लोक आपल्या गाडींच्या एन कॅप रेटिंग संदर्भात काही अडचणी अनुभवतात तेव्हा, तेव्हा त्यावर ध्यान दिले पाहिजे. 

मुंबईतील वाहतूक विभागाने एक नवीन घोषणा केली आहे ज्यामुळे योग्य कारच्या 'एन कॅप' रेटिंग असलेल्या वाहनांचा वाहतूक विभागाद्वारे मंजुरी मिळविण्याची प्रक्रिया बदलण्यात आली आहे. हे बदल या वर्षातील सर्व वाहनांना पूर्ण प्रमाणे मोठ्या प्रमाणावर प्रभावित करणार आहेत. या बदलामुळे राज्यातील सार्वजनिक वाहतूक मध्ये सुरक्षित ड्रायव्हिंग हा विशेष महत्त्वाचा ठरतो."
"कारची महत्त्वाची कागदपत्रे कोणती, त्यात काय असायला हवे?",Auto,"मुंबई, २४ मार्च : जेव्हा आपण एका कारला घेऊन गेले आहोत, तर सगळे विशिष्ट प्रश्न येतात. तिचे कसे ठेवावे, हे वाटते. किती महिन्यांपूर्वी खरेदी केलेल्या कारीची महत्त्वाची कागदपत्रे कोणती आहेत? कारचे पुरवठा करणाऱ्याने दिलेल्या किंवा नोंदणीकृत केलेल्या दस्तऐवजांचा समावेश असतो, अशी प्रश्न उत्पन्न होऊ शकतात. मात्र, काहींना या कारचे वास्तविक मालकीचे दस्तऐवज मिळालेले नसल्यामुळे परिणामी होण्याची शक्यता अधिक असते.

मंत्रालयाने केलेल्या परतीमानुसार, कोणत्याही कारच्या पुरवठ्याकडून नोंदणीसाठी आवश्यक असलेले दस्तऐवज मिळवायला लागतील. कारण काही कारी बनवणाऱ्या कंपन्या नोंदणीसाठी आवश्यक असलेले दस्तऐवज सोडवतात. तसेच, काही वाहने बाजारात नोंदणी करण्यापूर्वी त्यांचे दस्तऐवज सोडतात. मात्र, यात कधीही कोणतेही दस्तऐवज नसतात, म्हणूनच या प्रश्नांचे उत्तर मिळवण्यासाठी खूप परेशानी होते."
रोल्स रॉयस अडचणीत; ईडीने पाठविली नोटीस,Auto,"मुंबईतील सुप्रसिद्ध कार व्यापारी आणि डीलरशिपर खंडित कंपनी रोल्स रॉयस यांना जास्ती दागिनीच्या आरोपातून दरवळलेली आहे. ही कंपनी महाराष्ट्र शासनाच्या नोटिसाने शासकीय चुकांवर प्रतिबंध घालविण्यात आली आहे, असे सुरुवातीला माहिती झाल्यावरच. 

जेव्हा नोटीसाची माहिती आली, तेव्हा रोल्स रॉयसचे अधिकाऱ्यांना कंपनीकडून काम सोडायला हवे लागतील. तर कंपनीला राज्य सरकारने नोंदणी सोडवायला हवी. याबाबतील सर्व संबंधित कारणे संपूर्णपणे स्पष्ट कराव्या."
आता हेल्मेट न घातल्यास रद्द होणार लायसन्स; जाणून घ्या ट्रॅफिकचे नवे 19 नियम,Auto,"महाराष्ट्रातील सार्वजनिक वाहतूक मंत्रालयाने हेलमेट न घातल्यास लायसन्स होईपर्यंत ट्राफिक कायद्यांची पुनरावृत्ती करण्याचे फैसला केले आहे. या कायद्यात वर्गीकरण सुधारणे, ड्रायवर लाइसेंस नोंदणी आणि वाहन व्हीकिलचे किंवा मोटारेचे कार्यक्रम यावर अनेक बदल केले गेले आहेत. या कायद्यानुसार, वाहन चालकांना हेलमेट घातल्यास लायसन्स देण्यात आलेल्या वेळी त्यांच्याकडे 15 दिवसांत 5 हजार रुपये चुकवावी लागेल.

पूर्वी हेलमेट न घातल्यास लायसन्स होईपर्यंत ट्राफिक कायद्यांच्या परिवर्तनाबद्दल शेवटच्या बैठकीत केलेल्या निर्णयानुसार, नोंदणीवर आधारित लायसन्स असलेल्या वाहनांना हेलमेट घातल्यास त्यांच्याकडे 15 दिवसांत 10 हजार रुपये चुकवावी लागेल. हे बदल संपूर्ण महाराष्ट्रातील सार्वजनिक वाहतूक व्यवस्थेत वापरल्या जाणाऱ्या ट्राफिक कायद्यांना आधुनिक बनवतील."
"आता वाहनांच्या नंबर प्लेटवर लावावी लागणार चमकदार टेप, अन्यथा आकारला जाणार दंड",Auto,"मुंबई : राज्य सरकारने वाहनांना सुरक्षित बनविण्यासाठी काही महत्त्वाच्या बदल करण्यात आलेले. या बदलीनंतरच राज्यातील सर्व वाहनांवर कोणतेही आपले स्टिकर लावायला हवे, तरी ते आपल्या नंबर प्लेटवर स्टिकरच्या ठिकाणी असूनही, त्याचा उपयोग करू नये. हा बदल वाहन नियमांतर्गत होत आहे. यामुळे वाहन चालकांना केवळ एकदा नंबर प्लेटवर स्टिकर लावावा लागेल.

या बदलीनंतर कोणत्याही वाहनावर जास्तीत जास्त चार स्टिकर लावण्याची परवानगी नाही. जर कोणीही जास्त स्टिकर लावल्या असल्यास त्याला दोन हजार रुपयांचा दंड मिळेल. तसेच, नंबर प्लेटवर स्टिकर लावण्याची वेळी शेतकरी व स्वयंसेवकांसाठी विशेष दर्जाची विनंती करण्यात आली आहे."
BMW C 400 GT: भारतातील सर्वात महागडी स्कूटर लाँच; जाणून घ्या किंमत आणि खासियत...,Auto,"बायएमव्ही (BMW) ही प्रसिद्ध जर्मन कार निर्मिती कंपनी आहे जी आजवर जगभरातील विविध प्रकारच्या कार्साठी ओळखली गेली आहे. त्याच्या नवीन उत्पादनांमध्ये, बायएमव्हीच्या मालिकेतील एकूण श्रेणीतील पहिल्या काही मॉडेलसाठी ही कंपनी ह्या देशातील युवावस्तुस्थितींना लक्ष वेधत असताना ही नवीन स्कूटर लाँच करण्याची घोषणा केली आहे. बायएमव्हीच्या या नवीन स्कूटरसाठी, 400 GT नावाची श्रेणी बनविण्यात आली आहे.

बायएमव्हीच्या 400 GT स्कूटरमुळे प्रवाशांना अत्यंत आधुनिक आणि आधुनिक वैशिष्ट्यांनी सुसज्ज आहे. या स्कूटरमध्ये सामान्यतः सुपरफ्लाइट डिझाइन, एअरोडायनॅमिक्स आणि उच्च-प्रदर्शन इंजिन यासह अनेक महत्वाची वैशिष्ट्ये समाविष्ट आहेत. हे स्कूटर दोन वेगवेगळ्या फॉर्मॅट्समध्ये उपलब्ध आहे, ज्यामुळे या व्यक्तींना त्यांच्या आवश्यकतेसह सहकार्य रूपाने चालवायला मदतील आहे."
हिरोची जबरदस्त फिचर्सची नवीन ‘पॅशन एक्सटेक’ बाजारात; 'ही' सर्वोत्तम वैशिष्ट्ये,Auto,"मुंबई: हिरो मोटरकॉर्पने त्याच्या नवीन प्रोडक्शनच्या संग्रहाला पाहण्यासाठी नेहमीच प्रतीक्षित असलेली फिचर्सची नवीन कार, 'पॅशन एक्सटेक', मार्केटमध्ये येणार आहे. ही कार हिरो ची पहिली इलेक्ट्रिक कार आहे, जी केवळ भारतातच नव्हे तर जगभरातील ग्राहकांसाठी खूप आकर्षक आहे. ही कार 52 टन पर्यंत दाबामुळे अत्यंत मजबूत आहे आणि तिच्या शक्तींचा अभिन्न भाग ही डिझाइन आहे. ही कार 0-100 किमी/तास 8.9 सेकंदात पूर्ण करू शकते.

हिरो पॅशन एक्सटेकच्या मुख्य विशेषता म्हणजे ती इलेक्ट्रिक मोटरसह आहे, ज्याने कारच्या वाहतूकात उत्सर्जन कमी करण्यात महत्त्वपूर्ण भूमिका बजावली आहे. ही कार 450 किमी पर्यंत अंतर तरल प्लास्टिक किंवा लिथियम आयॉन बॅटरीमधून चालविण्यात सक्षम आहे. ही कार हिरो मोटरकॉर्पनच्या उत्कृष्ट डिझाइन आणि प्रोडक्शनच्या माध्यमातून त्याच्या गुणवत्तेच्या मर्यादेतून बाहेर आलेली आहे."
"पठ्ठ्यानं Scorpio-N चा लूकच बदलून टाकला, आनंद महिंद्राही झाले फॅन; कार खरेदीची दिली ऑफर!",Auto,"मराठी न्यूज व्यवस्थेत ही एक रोचक घडामोड सुरू झाली आहे. महाराष्ट्रातील कार विक्रेत्यांना त्यांच्या उत्पादनाचा लुक बदलण्यासाठी मजबूर करणाऱ्या सरकारने नियामक कायद्यावर लक्ष केंद्रित केल्याने या कारखान्यांना मोठ्या प्रमाणात नुकसान झाले आहे. हे कायदे कारखान्यांना त्यांच्या उत्पादनातील गुणवत्तेचे सुधारणेसाठी प्रोत्साहन देण्यासाठी आणि जास्त प्रतिसाद दर ठेवण्यासाठी देशभरातील कार खुदरात उपलब्ध असलेल्या कारींवर किमतीत बदल करण्याची अनुमती देतात.

आज ही समस्या शिवाय पाहायला मिळाली कारण मराठवाडा जिल्ह्यातील एक कारखान्याच्या मालकाने स्वतः आपल्या कारमध्ये स्कॉर्पिओ-एन चा लूक बदलण्याचे निर्णय घेतला. या कारखान्याचा मालक मुंबईतील एक प्रसिद्ध कार विक्रेता आहे, आणि हे निर्णय केवळ त्याच्या कारखान्यातील कर्मचाऱ्यांसाठी नव्हे तर पूर्वी त्याच्या कारखान्यातील उपभोक्त्यांसाठी देखील विचाराचे प्रतीक आहे. म्हणूनच कारखान्याचे मालकाने हे निर्णय घेतल्यापासून ते फँसून घेण्यासाठी प्रत्येक कृती करण्यात आली आहे."
बदललेल्या जगातील रस्त्यांवर उतरण्यासाठी बीएमडब्ल्यू #JustCantWait,Auto,"मुंबई : राज्यातील सर्व वाहतूक विभाग आणि सार्वजनिक कार्यकारी यंत्रणा यांचे एकत्रितपणे केलेले निर्णय म्हणजे शहरातील रस्त्यावर जाण्यासाठी पुरेश्या गाड्याची आवश्यकता होत असल्यानेच आम्हाला आता बदललेल्या जगात अनेक समस्या आल्या आहेत. तसेच बीएमडब्ल्यू #JustCantWait म्हणून ओळखल्या जाणाऱ्या स्टीयरिंगच्या पद्धतीने ड्रायव्हिंग करण्याच्या परिणामी हे निर्णय दिसत आहेत. हे वेगवेगळ्या प्रकारच्या गाड्यांना सुरक्षित वाहतूकसाठी अत्यंत महत्त्वाचे ठरते, पण त्यातच काहीवेळा अशी समस्या उद्भवते. 

अधिकृतांनी घेतलेल्या निर्णयानंतर सार्वजनिक कार्यकारी यंत्रणा म्हणजे कोणत्या प्रकारच्या वाहनांना सार्वजनिक रस्त्यावर धावण्यास अनुमती देण्यात आली आहे हे जाणून घेण्यासाठी मात्र म्हणजे काही कठोर समस्या उद्भवत आहेत. तसेच इतर देशांमध्येही अशी समस्या आहेत आणि हे कारण म्हणजे बदललेल्या जगातील स्टीयरिंग पद्धतीच्या कारणाने ही समस्या पसरलेली आहे."
"इलेक्ट्रिक वाहन चार्जिंग,  अक्षय्य ऊर्जेचा ध्यास",Auto,"मुंबईतील राज्य सरकारने एक महत्वाची घोषणा केली आहे जेणेकरून शहरातील इलेक्ट्रिक वाहनांचे चार्जिंग सुविधा वाढवली जाईल. ह्या घोषणेमुळे शहरातील लोकांना त्यांच्या इलेक्ट्रिक वाहनांसाठी चार्जिंग सुविधा मिळणारी. या घोषणेनंतर दिलेल्या जागेवर प्रत्येक 10 मिनिटाने 5 रुपयांचा दराने चार्जिंग करण्याची सुविधा उपलब्ध होईल. तसेच, विशेष बळी ज्यांना आर्थिक सहाय्यक मिळणार आहेत अशा लोकांना काही कमी दराने चार्जिंग करण्याची सुविधा देण्यात आली आहे. 

आजवर मुंबईतील इतर शहरांप्रमाणेच येथेही चार्जिंग सुविधा वाढवण्यात आली आहे, ज्यामुळे शहरातील लोकांच्या इलेक्ट्रिक वाहनांच्या वापरात हिरवेगळ्या फायद्यांचा अनुभव होऊ शकतो. राज्य सरकारने या घोषणेनंतर चार्जिंग सुविधांची व्यवस्था करण्यासाठी आवश्यक उपकरणे व सुविधा तयार करण्यात आल्या."
